名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
null,nkkvdlu8dou7,null,null,null,null,102,84,1
null,nkkvdlu8dou7,null,null,null,null,97,85,0
null,nkkvdlu8dou7,null,null,null,null,109,86,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,93,85,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,108,84,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,105,87,0
null,nkkvdlu8dou7,null,null,null,null,111,84,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,108,86,0
null,nkkvdlu8dou7,null,null,null,null,101,83,0
null,nkkvdlu8dou7,null,null,null,null,114,86,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,95,86,0
null,nkkvdlu8dou7,null,null,null,null,97,84,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,103,83,0
null,nkkvdlu8dou7,null,null,null,null,111,84,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,105,87,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,95,85,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,100,87,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,109,86,0
null,nkkvdlu8dou7,null,null,null,null,111,84,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,106,83,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,102,87,0
null,nkkvdlu8dou7,null,null,null,null,114,85,0
null,nkkvdlu8dou7,null,null,null,null,105,83,0
null,nkkvdlu8dou7,null,null,null,null,95,85,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,94,86,0
null,nkkvdlu8dou7,null,null,null,null,101,83,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,100,84,0
null,nkkvdlu8dou7,null,null,null,null,110,84,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,104,87,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,94,86,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,100,85,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,106,83,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,108,87,0
null,nkkvdlu8dou7,null,null,null,null,98,84,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,106,83,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,106,87,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,102,82,0
null,nkkvdlu8dou7,null,null,null,null,100,83,0
null,nkkvdlu8dou7,null,null,null,null,99,84,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,112,85,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,100,86,0
null,nkkvdlu8dou7,null,null,null,null,109,86,0
null,nkkvdlu8dou7,null,null,null,null,106,87,0
null,nkkvdlu8dou7,null,null,null,null,98,85,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,100,84,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,99,83,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,110,83,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,99,86,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,108,86,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,94,84,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,98,84,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,97,86,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,101,83,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,106,87,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,107,83,0
null,nkkvdlu8dou7,null,null,null,null,102,83,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,117,83,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,99,86,0
null,nkkvdlu8dou7,null,null,null,null,96,84,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,96,85,0
null,nkkvdlu8dou7,null,null,null,null,111,87,0
null,nkkvdlu8dou7,null,null,null,null,96,85,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,100,86,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,101,87,0
null,nkkvdlu8dou7,null,null,null,null,105,83,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,111,84,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,102,88,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,108,86,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,98,87,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,100,84,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,106,83,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,109,85,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,99,84,0
null,nkkvdlu8dou7,null,null,null,null,111,86,0
null,nkkvdlu8dou7,null,null,null,null,109,85,0
null,nkkvdlu8dou7,null,null,null,null,98,85,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,105,87,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,101,83,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,100,86,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,98,85,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,103,83,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,108,87,0
null,nkkvdlu8dou7,null,null,null,null,105,83,0
null,nkkvdlu8dou7,null,null,null,null,98,84,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,111,85,0
null,nkkvdlu8dou7,null,null,null,null,108,84,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,102,87,0
null,nkkvdlu8dou7,null,null,null,null,114,84,0
null,nkkvdlu8dou7,null,null,null,null,104,87,0
null,nkkvdlu8dou7,null,null,null,null,104,83,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,111,85,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,101,83,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,100,86,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,110,84,0
null,nkkvdlu8dou7,null,null,null,null,109,86,0
null,nkkvdlu8dou7,null,null,null,null,108,84,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,100,85,0
null,nkkvdlu8dou7,null,null,null,null,112,85,0
null,nkkvdlu8dou7,null,null,null,null,99,87,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,97,87,0
null,nkkvdlu8dou7,null,null,null,null,111,86,0
null,nkkvdlu8dou7,null,null,null,null,116,83,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,96,86,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,92,84,0
null,nkkvdlu8dou7,null,null,null,null,105,87,0
null,nkkvdlu8dou7,null,null,null,null,97,85,0
null,nkkvdlu8dou7,null,null,null,null,109,86,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,98,86,0
null,nkkvdlu8dou7,null,null,null,null,110,86,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,103,87,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,101,83,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,101,87,0
null,nkkvdlu8dou7,null,null,null,null,103,87,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,95,85,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,96,86,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,104,87,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,98,83,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,101,83,0
null,nkkvdlu8dou7,null,null,null,null,109,86,0
null,nkkvdlu8dou7,null,null,null,null,108,84,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,108,84,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,109,86,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,98,86,0
null,nkkvdlu8dou7,null,null,null,null,95,87,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,107,87,0
null,nkkvdlu8dou7,null,null,null,null,112,86,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,98,86,0
null,nkkvdlu8dou7,null,null,null,null,100,86,0
null,nkkvdlu8dou7,null,null,null,null,108,86,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,98,85,0
null,nkkvdlu8dou7,null,null,null,null,100,84,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,100,85,0
null,nkkvdlu8dou7,null,null,null,null,105,83,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,116,85,0
null,nkkvdlu8dou7,null,null,null,null,109,84,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,100,85,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,100,85,0
null,nkkvdlu8dou7,null,null,null,null,97,85,0
null,nkkvdlu8dou7,null,null,null,null,110,84,0
null,nkkvdlu8dou7,null,null,null,null,101,87,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,106,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,111,84,0
null,nkkvdlu8dou7,null,null,null,null,102,87,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,102,87,0
null,nkkvdlu8dou7,null,null,null,null,104,87,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,97,85,0
null,nkkvdlu8dou7,null,null,null,null,100,85,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,108,84,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,103,82,0
null,nkkvdlu8dou7,null,null,null,null,97,84,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,109,85,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,99,84,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,98,87,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,97,86,0
null,nkkvdlu8dou7,null,null,null,null,104,83,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,110,85,0
null,nkkvdlu8dou7,null,null,null,null,97,86,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,98,86,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,107,84,0
null,nkkvdlu8dou7,null,null,null,null,98,85,0
null,nkkvdlu8dou7,null,null,null,null,100,84,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,96,84,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,99,84,0
null,nkkvdlu8dou7,null,null,null,null,103,86,0
null,nkkvdlu8dou7,null,null,null,null,98,86,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,101,86,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,108,85,0
null,nkkvdlu8dou7,null,null,null,null,102,84,0
null,nkkvdlu8dou7,null,null,null,null,104,86,0
null,nkkvdlu8dou7,null,null,null,null,108,86,0
null,nkkvdlu8dou7,null,null,null,null,110,86,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,106,86,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,97,83,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,109,85,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,106,87,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,103,85,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,105,84,0
null,nkkvdlu8dou7,null,null,null,null,99,88,0
null,nkkvdlu8dou7,null,null,null,null,109,85,0
null,nkkvdlu8dou7,null,null,null,null,97,84,0
null,nkkvdlu8dou7,null,null,null,null,87,85,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,100,83,0
null,nkkvdlu8dou7,null,null,null,null,99,83,0
null,nkkvdlu8dou7,null,null,null,null,98,85,0
null,nkkvdlu8dou7,null,null,null,null,104,85,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,101,85,0
null,nkkvdlu8dou7,null,null,null,null,104,87,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,99,85,0
null,nkkvdlu8dou7,null,null,null,null,94,87,0
null,nkkvdlu8dou7,null,null,null,null,97,85,0
null,nkkvdlu8dou7,null,null,null,null,101,84,0
null,nkkvdlu8dou7,null,null,null,null,105,86,0
null,nkkvdlu8dou7,null,null,null,null,106,84,0
null,nkkvdlu8dou7,null,null,null,null,107,86,0
null,nkkvdlu8dou7,null,null,null,null,107,85,0
null,nkkvdlu8dou7,null,null,null,null,98,85,0
null,nkkvdlu8dou7,null,null,null,null,110,82,0
null,nkkvdlu8dou7,null,null,null,null,102,86,0
null,nkkvdlu8dou7,null,null,null,null,104,84,0
null,nkkvdlu8dou7,null,null,null,null,105,85,0
null,nkkvdlu8dou7,null,null,null,null,97,84,0
null,nkkvdlu8dou7,null,null,null,null,97,85,0
null,nkkvdlu8dou7,null,null,null,null,102,85,0
null,nkkvdlu8dou7,null,null,null,null,103,84,0
null,nkkvdlu8dou7,null,null,null,null,108,86,0
null,nkkvdlu8dou7,null,null,null,null,100,85,0
